block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes , 
B1 ,1,A ,LVTR1 ,7,10,X ,,,,,,,,,,,,
B1 ,1,B ,YO11 ,3,7,X ,,,,,,,,,,,,
B1 ,2,A ,YO11 ,4,13,X ,,,,,,,,,,,,
B1 ,2,B ,DPR ,1,2,X ,,,,,,,,,,,,
B1 ,3,A ,FR ,4,10,X ,,,,,,,,,,,,
B1 ,3,B ,WL1 ,3,11,X ,,,,,,,,,,,,
B1 ,4,A ,LVTR1 ,3,2,X ,,,,,,,,,,,,
B1 ,4,B ,LV3 ,3,7,X ,,,,,,,,,,,,
B1 ,5,A ,WR ,1,5,X ,,,,,,,,,,,,
B1 ,5,B ,YO7 ,3,8,X ,,,,,,,,,,,,
B1 ,6,A ,YO7 ,7,12,V ,3.72,5.1,2,Y ,W ,2.2,,,,,,
B1 ,6,B ,SQ1 ,2,10,X ,,,,,,,,,,,,
B1 ,7,A ,SQ1 ,5,7,X ,,,,,,,,,,,,
B1 ,7,B ,SQ2 ,2,7,V ,2.51,5.4,7,Y ,W ,4.5,,,,,,
B1 ,8,A ,IH ,1,4,X ,,,,,,,,,,,,
B1 ,8,B ,TM2 ,7,1,P ,13.41,74.8,1,Y ,N ,,111,465,8.1,1,,
B1 ,9,A ,WL2 ,1,6,V ,3.88,7.5,8,Y,N ,4,,,,,"white fungus, side branch proxy",
B1 ,9,B ,CP3 ,2,13,X ,,,,,,,,,,,,
B1 ,10,A ,SQ1 ,4,1,X ,,,,,,,,,,,,
B1 ,10,B ,FR ,1,2,X ,,,,,,,,,,,,
B1 ,11,A ,SQ2 ,5,4,X ,,,,,,,,,,,,
B1 ,11,B ,YO7 ,1,13,X ,,,,,,,,,,,,
B1 ,12,A ,SQ2 ,3,10,V ,1.1,0.6,1,N ,N ,0.7,,,,,,
B1 ,12,B ,YO8 ,2,5,X ,,,,,,,,,,,,
B1 ,13,A ,SQ3 ,6,2,X ,,,,,,,,,,,,
B1 ,13,B ,WV ,5,5,X ,,,,,,,,,,,,
B1 ,14,A ,YO11 ,6,4,X ,,,,,,,,,,,,
B1 ,14,B ,IH ,3,4,X ,,,,,,,,,,,,
B1 ,15,A ,CP2 ,5,6,X ,,,,,,,,,,,,
B1 ,15,B ,YO7 ,5,3,X ,,,,,,,,,,,,
B1 ,16,A ,DPR ,5,12,X ,,,,,,,,,,,,
B1 ,16,B ,CC ,5,9,X ,,,,,,,,,,,,
B1 ,17,A ,LV3 ,4,7,X ,,,,,,,,,,,,
B1 ,17,B ,CP2 ,3,11,V ,8.44,4.5,1,N ,N ,4.3,,,,,Side branch proxy ,
B1 ,18,A ,IH ,5,7,X ,,,,,,,,,,,,
B1 ,18,B ,CC ,6,13,X ,,,,,,,,,,,,
B1 ,19,A ,WV ,1,6,X ,,,,,,,,,,,,
B1 ,19,B ,SQ2 ,7,8,X ,,,,,,,,,,,,
B1 ,20,A ,LV1 ,6,3,X ,,,,,,,,,,,,
B1 ,20,B ,YO11 ,2,1,X ,,,,,,,,,,,,
B1 ,21,A ,YO8 ,5,2,X ,,,,,,,,,,,,
B1 ,21,B ,DPR ,7,10,X ,,,,,,,,,,,,
B1 ,22,A ,SC ,2,4,X ,,,,,,,,,,,,
B1 ,22,B ,SC ,7,3,X ,,,,,,,,,,,,
B2 ,23,A ,CP2 ,1,3,X ,,,,,,,,,,,,
B2 ,23,B ,SQ1 ,5,1,X ,,,,,,,,,,,,
B2 ,24,A ,YO4 ,1,12,X ,,,,,,,,,,,,
B2 ,24,B ,YO8 ,7,7,V ,4.23,6.5,4,Y ,N ,4.2,,,,,,
B2 ,25,A ,DPR ,7,3,X ,,,,,,,,,,,,
B2 ,25,B ,SQ3 ,7,1,V ,2.62,9.1,6,Y ,N ,5.5,,,,,side branch proxy ,
B2 ,26,A ,CP3 ,2,6,X ,,,,,,,,,,,,
B2 ,26,B ,SQ3 ,5,9,X ,,,,,,,,,,,,
B2 ,27,A ,YO4 ,6,1,X ,,,,,,,,,,,,
B2 ,27,B ,WL2 ,7,11,V ,1.64,2.7,1,Y,N ,1.3,,,,,,
B2 ,28,A ,YO11 ,2,13,X ,,,,,,,,,,,,
B2 ,28,B ,SC ,1,7,X ,,,,,,,,,,,,
B2 ,29,A ,DPR ,3,11,X ,,,,,,,,,,,,
B2 ,29,B ,LV1 ,5,10,X ,,,,,,,,,,,,
B2 ,30,A ,WL2 ,6,7,X ,,,,,,,,,,,,
B2 ,30,B ,WV ,6,2,X ,,,,,,,,,,,,
