date,block ,row ,col ,pop ,mf ,rep ,pheno ,diam_mm ,height_cm ,total_branch ,herb_dam ,wilt_status ,longest_leaf_cm ,flowers ,fruits ,longest_ fruit_cm ,repro_ branch ,notes ,,
5/22/23,D1 ,1,A ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,1,B ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,2,A ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,2,B ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,3,A ,WL2 ,4,11,X,,,,,,,,,,,,,
5/22/23,D1 ,3,B ,CP2 ,10,4,X,,,,,,,,,,,,,
5/22/23,D1 ,4,A ,YO11 ,4,10,X,,,,,,,,,,,,,
5/22/23,D1 ,4,B ,CC ,5,12,X,,,,,,,,,,,,,
5/22/23,D1 ,5,A ,FR ,3,6,X,,,,,,,,,,,,,
5/22/23,D1 ,5,B ,BH ,5,24,X,,,,,,,,,,,,,
5/22/23,D1 ,6,A ,IH ,6,12,X,,,,,,,,,,,,,
5/22/23,D1 ,6,B ,CC ,3,10,X,,,,,,,,,,,,,
5/22/23,D1 ,7,A ,WL2 ,1,9,X,,,,,,,,,,,,,
5/22/23,D1 ,7,B ,CP2 ,8,4,X,,,,,,,,,,,,,
5/22/23,D1 ,8,A ,LV3 ,7,12,X,,,,,,,,,,,,,
5/22/23,D1 ,8,B ,BH ,6,7,X,,,,,,,,,,,,,
5/22/23,D1 ,9,A ,SC ,4,8,X,,,,,,,,,,,,,
5/22/23,D1 ,9,B ,LVTR1 ,2,5,X,,,,,,,,,,,,,
5/22/23,D1 ,10,A ,SQ3 ,4,4,X,,,,,,,,,,,,,
5/22/23,D1 ,10,B ,TM2 ,2,4,X ,,,,,,,,,,,,,
5/22/23,D1 ,11,A ,WL1 ,4,10,X,,,,,,,,,,,,,
5/22/23,D1 ,11,B ,BH ,7,4,X,,,,,,,,,,,,,
5/22/23,D1 ,12,A ,CC ,7,4,X,,,,,,,,,,,,,
5/22/23,D1 ,12,B ,TM2 ,5,9,X,,,,,,,,,,,,,
5/22/23,D1 ,13,A ,CP2 ,5,8,X,,,,,,,,,,,,,
5/22/23,D1 ,13,B ,WL1 ,1,3,X,,,,,,,,,,,,,
5/22/23,D1 ,14,A ,WL1 ,3,6,X,,,,,,,,,,,,,
5/22/23,D1 ,14,B ,YO7 ,4,7,X,,,,,,,,,,,,,
5/22/23,D1 ,15,A ,IH ,4,18,X,,,,,,,,,,,,,
5/22/23,D1 ,15,B ,WL1 ,2,14,X,,,,,,,,,,,,,
5/22/23,D1 ,16,A ,WL1 ,7,1,X,,,,,,,,,,,,,
5/22/23,D1 ,16,B ,TM2 ,5,3,X,,,,,,,,,,,,,
5/22/23,D1 ,17,A ,DPR ,6,4,X,,,,,,,,,,,,,
5/22/23,D1 ,17,B ,WL1 ,7,15,X,,,,,,,,,,,,,
5/22/23,D1 ,18,A ,SC ,6,10,X,,,,,,,,,,,,,
5/22/23,D1 ,18,B ,IH ,4,10,X,,,,,,,,,,,,,
5/22/23,D1 ,19,A ,SQ2 ,6,2,X,,,,,,,,,,,,,
5/22/23,D1 ,19,B ,BH ,2,8,X,,,,,,,,,,,,,
5/22/23,D1 ,20,A ,BH ,4,2,X,,,,,,,,,,,,,
5/22/23,D1 ,20,B ,WL2 ,5,6,X,,,,,,,,,,,,,
5/22/23,D1 ,21,A ,SQ2 ,5,3,X,,,,,,,,,,,,,
5/22/23,D1 ,21,B ,LV3 ,6,3,X,,,,,,,,,,,,,
5/22/23,D2 ,22,A ,CP2 ,9,2,X,,,,,,,,,,,,,
5/22/23,D2 ,22,B ,SQ1 ,4,4,X,,,,,,,,,,,,,
5/22/23,D2 ,23,A ,YO11 ,3,12,X,,,,,,,,,,,,,
5/22/23,D2 ,23,B ,CP2 ,10,3,X,,,,,,,,,,,,,
5/22/23,D2 ,24,A ,LVTR1 ,7,6,X,,,,,,,,,,,,,
5/22/23,D2 ,24,B ,IH ,6,6,X,,,,,,,,,,,,,
5/22/23,D2 ,25,A ,DPR ,2,7,X,,,,,,,,,,,,,
5/22/23,D2 ,25,B ,CP2 ,2,1,X,,,,,,,,,,,,,
5/22/23,D2 ,26,A ,TM2 ,1,2,X,,,,,,,,,,,,,
5/22/23,D2 ,26,B ,BH ,5,15,B ,8.14,31.5,7,Y,N,,0,0,0,1,,,
5/22/23,D2 ,27,A ,SQ2 ,4,6,X,,,,,,,,,,,,,
5/22/23,D2 ,27,B ,DPR ,4,9,X,,,,,,,,,,,,,
5/22/23,D2 ,28,A ,LV3 ,8,7,X,,,,,,,,,,,,,
5/22/23,D2 ,28,B ,CC ,2,13,X,,,,,,,,,,,,,
5/22/23,D2 ,29,A ,IH ,7,3,X,,,,,,,,,,,,,
5/22/23,D2 ,29,B ,YO11 ,7,2,X,,,,,,,,,,,,,
5/22/23,D2 ,30,A ,WL1 ,7,26,X,,,,,,,,,,,,,
5/22/23,D2 ,30,B ,BH ,4,3,V,14.9,37,5,Y ,N ,7.5,0,0,0,0,,,
5/22/23,D2 ,31,A ,WL2 ,1,7,X,,,,,,,,,,,,,
5/22/23,D2 ,31,B ,TM2 ,4,11,P ,12.39,56.5,1,N ,W ,,18,195,8.6,3,,,
5/22/23,D2 ,32,A ,LV3 ,2,3,X,,,,,,,,,,,,,
5/22/23,D2 ,32,B ,IH ,4,19,X,,,,,,,,,,,,,
5/22/23,D2 ,33,A ,WL1 ,2,11,X,,,,,,,,,,,,,
5/22/23,D2 ,33,B ,BH ,6,8,X,,,,,,,,,,,,,
5/22/23,D2 ,34,A ,LV3 ,1,7,X,,,,,,,,,,,,,
5/22/23,D2 ,34,B ,WL1 ,1,21,X,,,,,,,,,,,,,
5/22/23,D2 ,35,A ,CC ,1,11,X,,,,,,,,,,,,,
5/22/23,D2 ,35,B ,BH ,5,25,X,,,,,,,,,,,,,
5/22/23,D2 ,36,A ,YO8 ,2,2,X,,,,,,,,,,,,,
5/22/23,D2 ,36,B ,WL1 ,2,15,X,,,,,,,,,,,,,
5/22/23,D2 ,37,A ,WL1 ,1,4,X,,,,,,,,,,,,,
5/22/23,D2 ,37,B ,TM2 ,6,5,X,,,,,,,,,,,,,
5/22/23,D2 ,38,A ,YO4 ,4,5,X,,,,,,,,,,,,,
5/22/23,D2 ,38,B ,WL1 ,4,1,X,,,,,,,,,,,,,
5/22/23,D2 ,39,A ,CC ,5,7,X,,,,,,,,,,,,,
5/22/23,D2 ,39,B ,CC ,4,5,X,,,,,,,,,,,,,
5/22/23,D2 ,40,A ,FR ,6,5,X,,,,,,,,,,,,,
5/22/23,D2 ,40,B ,WR ,3,7,X,,,,,,,,,,,,,
5/22/23,D2 ,41,A ,WL2 ,4,12,X,,,,,,,,,,,,,
5/22/23,D2 ,41,B ,IH ,7,13,X,,,,,,,,,,,,,
5/22/23,D2 ,42,A ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,42,B ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,43,A ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D2 ,43,B ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,1,C ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,1,D ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,2,C,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,2,D ,buffer ,,,,,,,,,,,,,,,,
5/22/23,D1 ,3,C ,LV3 ,1,6,X,,,,,,,,,,,,,
5/22/23,D1 ,3,D ,IH ,2,13,X,,,,,,,,,,,,,
5/22/23,D1 ,4,C ,CC ,4,9,X,,,,,,,,,,,,,
5/22/23,D1 ,4,D ,YO7 ,8,1,V,3.3,5.9,9,N,N,3.8,0,0,0,0,measured biggest side branch ,,
5/22/23,D1 ,5,C ,WV ,4,10,X,,,,,,,,,,,,,
