block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb_ dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes 
B1 ,1,A ,LVTR1 ,7,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,1,B ,YO11 ,3,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,2,A ,YO11 ,4,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,2,B ,DPR ,1,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,3,A ,FR ,4,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,3,B ,WL1 ,3,11,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,4,A ,LVTR1 ,3,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,4,B ,LV3 ,3,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,5,A ,WR ,1,5,X ,,,,,,,,,,,no plant 
B1 ,5,B ,YO7 ,3,8,X ,,,,,,,,,,,no plant 
B1 ,6,A ,YO7 ,7,12,X ,,,,,D,,,,,,
B1 ,6,B ,SQ1 ,2,10,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,7,A ,SQ1 ,5,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,7,B ,SQ2 ,2,7,X ,,,,,D ,,,,,,
B1 ,8,A ,IH ,1,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,8,B ,TM2 ,7,1,S ,9.93,76.5,1,Y ,SW ,,0,301,8.1,1,
B1 ,9,A ,WL2 ,1,6,X ,,,,,D ,,,,,,
B1 ,9,B ,CP3 ,2,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,10,A ,SQ1 ,4,1,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,10,B ,FR ,1,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,11,A ,SQ2 ,5,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,11,B ,YO7 ,1,13,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,12,A ,SQ2 ,3,10,V ,1.04,1.5,1,Y ,N ,1.1,,,,,
B1 ,12,B ,YO8 ,2,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,13,A ,SQ3 ,6,2,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,13,B ,WV ,5,5,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,14,A ,YO11 ,6,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,14,B ,IH ,3,4,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,15,A ,CP2 ,5,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,15,B ,YO7 ,5,3,X ,,,,,D ,,,,,,
B1 ,16,A ,DPR ,5,12,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,16,B ,CC ,5,9,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
B1 ,17,A ,LV3 ,4,7,X ,,,,,D ,,,,,,
B1 ,17,B ,CP2 ,3,11,V ,,7.6,3,Y ,N ,3,,,,,bushy 
B1 ,18,A ,IH ,5,7,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,
