order ,block,row,column,pop,mf,rep,death date,Notes,,
1,D1,1,A,buffer,,,,,,
2,D1,1,B,buffer,,,,,,
3,D1,2,A,buffer,,,,,,
4,D1,2,B,buffer,,,,,,
5,D1,3,A,WL2,4,11,,,,
6,D1,3,B,CP2,10,4,1/27/23,gone,,
7,D1,4,A,YO11,4,10,1/12/23,wilted / water logged,,
8,D1,4,B,CC,5,12,2/10/23,wilted,,
9,D1,5,A,FR,3,6,,,,
10,D1,5,B,BH,5,24,,,,
11,D1,6,A,IH,6,12,,,,
12,D1,6,B,CC,3,10,,,,
13,D1,7,A,WL2,1,9,2/17/23,crispy,,
14,D1,7,B,CP2,8,4,2/3/23,wilted,,
15,D1,8,A,LV3,7,12,2/10/23,wilted,,
16,D1,8,B,BH,6,7,,,,
17,D1,9,A,SC,4,8,,,,
18,D1,9,B,LVTR1,2,5,2/3/23,wilted/stem rot,,
19,D1,10,A,SQ3,4,4,,,,
20,D1,10,B,TM2,2,4,,,,
21,D1,11,A,WL1,4,10,2/17/23,crispy,,
22,D1,11,B,BH,7,4,,,,
23,D1,12,A,CC,7,4,,,,
24,D1,12,B,TM2,5,9,,,,
25,D1,13,A,CP2,5,8,2/10/23,wilted /crispy,,
26,D1,13,B,WL1,1,3,,,,
27,D1,14,A,WL1,3,6,,,,
28,D1,14,B,YO7,4,7,,,,
29,D1,15,A,IH,4,18,,,,
30,D1,15,B,WL1,2,14,,,,
31,D1,16,A,WL1,7,1,1/20/23,leaves blown off,,
32,D1,16,B,TM2,5,3,,,,
33,D1,17,A,DPR,6,4,2/17/23,blew away,,
34,D1,17,B,WL1,7,15,,,,
35,D1,18,A,SC,6,10,,,,
36,D1,18,B,IH,4,10,,,,
37,D1,19,A,SQ2,6,2,2/10/23,,,
38,D1,19,B,BH,2,8,,,,
39,D1,20,A,BH,4,2,,,,
40,D1,20,B,WL2,5,6,,,,
41,D1,21,A,SQ2,5,3,1/27/23,1/12-new germ 2/10- germ dead,,
42,D1,21,B,LV3,6,3,,,,
43,D2,22,A,CP2,9,2,1/20/23,blown away,,
44,D2,22,B,SQ1,4,4,,,,
45,D2,23,A,YO11,3,12,1/6/23,shriveled,,
46,D2,23,B,CP2,10,3,,,,
47,D2,24,A,LVTR1,7,6,2/10/23,wilted /stem rot,,
48,D2,24,B,IH,6,6,,,,
49,D2,25,A,DPR,2,7,,,,
50,D2,25,B,CP2,2,1,,,,
51,D2,26,A,TM2,1,2,,,,
52,D2,26,B,BH,5,15,,,,
53,D2,27,A,SQ2,4,6,1/6/23,1/6-new seedling 1/12- - seedling died,,
54,D2,27,B,DPR,4,9,,,,
55,D2,28,A,LV3,8,7,1/6/23,shriveled,,
56,D2,28,B,CC,2,13,,,,
57,D2,29,A,IH,7,3,,,,
58,D2,29,B,YO11,7,2,2/3/23,1/12- new germ 2/3 - original + germ dead,,
59,D2,30,A,WL1,7,26,,,,
60,D2,30,B,BH,4,3,,,,
61,D2,31,A,WL2,1,7,1/12/23,wilted/ water logged,,
62,D2,31,B,TM2,4,11,,,,
63,D2,32,A,LV3,2,3,,,,
64,D2,32,B,IH,4,19,,,,
65,D2,33,A,WL1,2,11,1/6/23,Shriveled,,
66,D2,33,B,BH,6,8,,,,
67,D2,34,A,LV3,1,7,2/10/23,wilted,,
68,D2,34,B,WL1,1,21,,,,
69,D2,35,A,CC,1,11,,,,
70,D2,35,B,BH,5,25,,,,
71,D2,36,A,YO8,2,2,1/20/23,wilted/ shriveled,,
72,D2,36,B,WL1,2,15,,,,
73,D2,37,A,WL1,1,4,2/17/23,crispy,,
74,D2,37,B,TM2,6,5,,,,
75,D2,38,A,YO4,4,5,2/3/23,wilted / Stem rot,,
76,D2,38,B,WL1,4,1,2/17/23,crispy,,
77,D2,39,A,CC,5,7,,,,
78,D2,39,B,CC,4,5,,,,
79,D2,40,A,FR,6,5,,,,
80,D2,40,B,WR,3,7,,,,
81,D2,41,A,WL2,4,12,,,,
82,D2,41,B,IH,7,13,,,,
83,D2,42,A,buffer,,,,,,
84,D2,42,B,buffer,,,,,,
85,D2,43,A,buffer,,,,,,
86,D2,43,B,buffer,,,,,,
87,D1,1,C,buffer,,,,,,
88,D1,1,D,buffer,,,,,,
89,D1,2,C.,buffer,,,,,,
90,D1,2,D,buffer,,,,,,
91,D1,3,C,LV3,1,6,2/17/23,wilted / moldy,,
92,D1,3,D,IH,2,13,,,,
93,D1,4,C,CC,4,9,2/3/23,wilted,,
94,D1,4,D,YO7,8,1,,,,
95,D1,5,C,WV,4,10,2/17/23,wilted,,
96,D1,5,D,FR,1,12,2/10/23,crow pulled up,replanted 12/21; 2/10 crispy,
97,D1,6,C,BH,4,12,,,,
98,D1,6,D,SQ1,5,9,1/20/23,missing,,
99,D1,7,C,WL1,1,20,,,,
100,D1,7,D,CP2,2,11,,,,
101,D1,8,C,WL1,2,10,2/3/23,,,
102,D1,8,D,BH,7,17,,,,
103,D1,9,C,BH,1,8,,,,
104,D1,9,D,SQ1,7,3,1/27/23,waterlogged,,
105,D1,10,C,FR,6,6,2/17/23,crispy,,
106,D1,10,D,IH,7,2,,,,
107,D1,11,C,LV3,5,10,2/3/23,,,
108,D1,11,D,SQ1,1,9,2/17/23,crispy,,
109,D1,12,C,WL1,1,13,2/10/23,stem shriveled,,
110,D1,12,D,DPR,2,11,1/27/23,1/12 - new gem 2/3- germ died,,
111,D1,13,C,SQ1,7,21,1/20/23,wilted,,
