survey date,block ,row ,col ,pop ,mf ,rep ,height (cm) ,longest leaf (cm) ,herbivory (Y or N) ,wilting status ,Notes 
5/8/23,D1 ,1,A ,buffer ,,,,,,,
5/8/23,D1 ,1,B ,buffer ,,,,,,,
5/8/23,D1 ,2,A ,buffer ,,,,,,,
5/8/23,D1 ,2,B ,buffer ,,,,,,,
5/8/23,D1 ,3,A ,WL2 ,4,11,,,,,
5/8/23,D1 ,3,B ,CP2 ,10,4,,,,,
5/8/23,D1 ,4,A ,YO11 ,4,10,,,,,
5/8/23,D1 ,4,B ,CC ,5,12,,,,,
5/8/23,D1 ,5,A ,FR ,3,6,,,,,
5/8/23,D1 ,5,B ,BH ,5,24,,,,,
5/8/23,D1 ,6,A ,IH ,6,12,,,,,
5/8/23,D1 ,6,B ,CC ,3,10,,,,,
5/8/23,D1 ,7,A ,WL2 ,1,9,,,,,
5/8/23,D1 ,7,B ,CP2 ,8,4,,,,,
5/8/23,D1 ,8,A ,LV3 ,7,12,,,,,
5/8/23,D1 ,8,B ,BH ,6,7,,,,,
5/8/23,D1 ,9,A ,SC ,4,8,,,,,
5/8/23,D1 ,9,B ,LVTR1 ,2,5,,,,,
5/8/23,D1 ,10,A ,SQ3 ,4,4,,,,,
5/8/23,D1 ,10,B ,TM2 ,2,4,,,,,
5/8/23,D1 ,11,A ,WL1 ,4,10,,,,,
5/8/23,D1 ,11,B ,BH ,7,4,,,,,
5/8/23,D1 ,12,A ,CC ,7,4,,,,,
5/8/23,D1 ,12,B ,TM2 ,5,9,,,,,
5/8/23,D1 ,13,A ,CP2 ,5,8,,,,,
5/8/23,D1 ,13,B ,WL1 ,1,3,,,,,
5/8/23,D1 ,14,A ,WL1 ,3,6,,,,,
5/8/23,D1 ,14,B ,YO7 ,4,7,,,,,
5/8/23,D1 ,15,A ,IH ,4,18,,,,,
5/8/23,D1 ,15,B ,WL1 ,2,14,,,,,
5/8/23,D1 ,16,A ,WL1 ,7,1,,,,,
5/8/23,D1 ,16,B ,TM2 ,5,3,,,,,
5/8/23,D1 ,17,A ,DPR ,6,4,,,,,
5/8/23,D1 ,17,B ,WL1 ,7,15,,,,,
5/8/23,D1 ,18,A ,SC ,6,10,,,,,
5/8/23,D1 ,18,B ,IH ,4,10,,,,,
5/8/23,D1 ,19,A ,SQ2 ,6,2,,,,,
5/8/23,D1 ,19,B ,BH ,2,8,,,,,
5/8/23,D1 ,20,A ,BH ,4,2,,,,,
5/8/23,D1 ,20,B ,WL2 ,5,6,,,,,
5/8/23,D1 ,21,A ,SQ2 ,5,3,,,,,
5/8/23,D1 ,21,B ,LV3 ,6,3,,,,,
5/8/23,D2 ,22,A ,CP2 ,9,2,,,,,
5/8/23,D2 ,22,B ,SQ1 ,4,4,,,,,
5/8/23,D2 ,23,A ,YO11 ,3,12,,,,,
5/8/23,D2 ,23,B ,CP2 ,10,3,,,,,
5/8/23,D2 ,24,A ,LVTR1 ,7,6,,,,,
5/8/23,D2 ,24,B ,IH ,6,6,,,,,
5/8/23,D2 ,25,A ,DPR ,2,7,,,,,
5/8/23,D2 ,25,B ,CP2 ,2,1,,,,,
5/8/23,D2 ,26,A ,TM2 ,1,2,,,,,
5/8/23,D2 ,26,B ,BH ,5,15,23.1,8.6,Y ,N ,
5/8/23,D2 ,27,A ,SQ2 ,4,6,,,,,
5/8/23,D2 ,27,B ,DPR ,4,9,,,,,
5/8/23,D2 ,28,A ,LV3 ,8,7,,,,,
5/8/23,D2 ,28,B ,CC ,2,13,,,,,
5/8/23,D2 ,29,A ,IH ,7,3,,,,,
5/8/23,D2 ,29,B ,YO11 ,7,2,,,,,
5/8/23,D2 ,30,A ,WL1 ,7,26,,,,,
5/8/23,D2 ,30,B ,BH ,4,3,22.1,6.9,Y ,N ,
5/8/23,D2 ,31,A ,WL2 ,1,7,,,,,
5/8/23,D2 ,31,B ,TM2 ,4,11,57.2,4,Y ,W ,
5/8/23,D2 ,32,A ,LV3 ,2,3,,,,,
5/8/23,D2 ,32,B ,IH ,4,19,,,,,
5/8/23,D2 ,33,A ,WL1 ,2,11,,,,,
5/8/23,D2 ,33,B ,BH ,6,8,,,,,
5/8/23,D2 ,34,A ,LV3 ,1,7,,,,,
5/8/23,D2 ,34,B ,WL1 ,1,21,,,,,
5/8/23,D2 ,35,A ,CC ,1,11,,,,,
5/8/23,D2 ,35,B ,BH ,5,25,,,,,
5/8/23,D2 ,36,A ,YO8 ,2,2,,,,,
5/8/23,D2 ,36,B ,WL1 ,2,15,,,,,
5/8/23,D2 ,37,A ,WL1 ,1,4,,,,,
5/8/23,D2 ,37,B ,TM2 ,6,5,,,,,
5/8/23,D2 ,38,A ,YO4 ,4,5,,,,,
5/8/23,D2 ,38,B ,WL1 ,4,1,,,,,
5/8/23,D2 ,39,A ,CC ,5,7,,,,,
5/8/23,D2 ,39,B ,CC ,4,5,,,,,
5/8/23,D2 ,40,A ,FR ,6,5,,,,,
5/8/23,D2 ,40,B ,WR ,3,7,,,,,
5/8/23,D2 ,41,A ,WL2 ,4,12,,,,,
5/8/23,D2 ,41,B ,IH ,7,13,,,,,
5/8/23,D2 ,42,A ,buffer ,,,,,,,
5/8/23,D2 ,42,B ,buffer ,,,,,,,
5/8/23,D2 ,43,A ,buffer ,,,,,,,
5/8/23,D2 ,43,B ,buffer ,,,,,,,
5/8/23,D1 ,1,C ,buffer ,,,,,,,
5/8/23,D1 ,1,D ,buffer ,,,,,,,
5/8/23,D1 ,2,C ,buffer ,,,,,,,
5/8/23,D1 ,2,D ,buffer ,,,,,,,
5/8/23,D1 ,3,C ,LV3 ,1,6,,,,,
5/8/23,D1 ,3,D ,IH ,2,13,,,,,
5/8/23,D1 ,4,C ,CC ,4,9,,,,,
5/8/23,D1 ,4,D ,YO7 ,8,1,6.6,2.9,N ,N ,
5/8/23,D1 ,5,C ,WV ,4,10,,,,,
5/8/23,D1 ,5,D ,FR ,1,12,,,,,
5/8/23,D1 ,6,C ,BH ,4,12,,,,,
5/8/23,D1 ,6,D ,SQ1 ,5,9,,,,,
5/8/23,D1 ,7,C ,WL1 ,1,20,,,,,
5/8/23,D1 ,7,D ,CP2 ,2,11,,,,,
5/8/23,D1 ,8,C ,WL1 ,2,10,,,,,
5/8/23,D1 ,8,D ,BH ,7,17,,,,,
5/8/23,D1 ,9,C ,BH ,1,8,,,,,
5/8/23,D1 ,9,D ,SQ1 ,7,3,,,,,
5/8/23,D1 ,10,C ,FR ,6,6,,,,,
5/8/23,D1 ,10,D ,IH ,7,2,,,,,
5/8/23,D1 ,11,C ,LV3 ,5,10,,,,,
5/8/23,D1 ,11,D ,SQ1 ,1,9,,,,,
5/8/23,D1 ,12,C ,WL1 ,1,13,,,,,
