parent.pop,mf,rep,germinated?,Height (cm),Longest leaf (cm),Notes
BH,1,1,0,,,
BH,1,2,0,,,
BH,1,3,0,,,
BH,1,4,0,,,
BH,1,5,0,,,
BH,1,6,0,,,
BH,1,7,1,1.7,1.9,
BH,1,8,1,1.7,1.6,
BH,1,9,0,,,
BH,1,10,1,1.2,1.5,
BH,1,11,0,,,
BH,1,12,0,,,
BH,1,13,0,,,
BH,2,1,1,1.4,2.7,
BH,2,2,1,1.4,1.3,
BH,2,3,1,1.1,1.7,
BH,2,4,1,1.6,1.9,
BH,2,5,1,2.4,3.2,
BH,2,6,1,2.2,2.7,
BH,2,7,1,1.8,2.4,
BH,2,8,1,2.6,2.3,
BH,2,9,1,3.5,3.4,
BH,2,10,1,2.9,2.4,
BH,2,11,1,2,3.2,
BH,2,12,1,3.4,2.5,
BH,2,13,1,1.1,1.3,
BH,2,14,1,1.3,2.1,
BH,3,1,1,1.7,2,
BH,3,2,1,2.2,2.1,
BH,3,3,1,2,2.2,
BH,3,4,1,2.5,3,
BH,3,5,1,1.7,1.8,
BH,3,6,1,3,3.1,
BH,3,7,1,1.2,1.5,
BH,3,8,1,3.3,2.1,
BH,3,9,1,1.9,1.9,
BH,3,10,1,1.5,1.6,
BH,3,11,1,2.9,2.6,
BH,3,12,1,2.3,3.3,
BH,3,13,1,1.9,2.3,
BH,3,14,1,0.9,0.8,
BH,4,1,1,1.8,1.6,
BH,4,2,1,2.5,2.5,
BH,4,3,1,2.4,2.3,
BH,4,4,1,2.4,2.4,
BH,4,5,1,3.3,2.2,
BH,4,6,1,2.8,2,
BH,4,7,1,2.2,3.1,
BH,4,8,1,2.6,2.1,
BH,4,9,1,2.8,3.2,
BH,4,10,1,2.8,2.3,leaf damaged in transport
BH,4,11,1,2.7,3.4,
BH,4,12,1,2.5,3,
BH,4,13,1,2.3,2.4,
BH,4,14,1,2.4,2.7,
BH,5,1,1,2.2,2.7,
BH,5,2,1,1.7,1.7,
BH,5,3,1,3.5,3.4,
BH,5,4,1,2.2,1.7,
BH,5,5,1,2.3,2.6,
BH,5,6,1,3.7,3.2,
BH,5,7,1,2.4,2.8,
BH,5,8,1,1.8,2.8,
BH,5,9,1,0.9,1.8,
BH,5,10,1,2.3,2.7,
BH,5,11,1,3.5,3.7,
BH,5,12,1,2.9,2.6,
BH,5,13,1,3.3,2.8,
BH,5,14,1,2.2,2.6,
BH,5,15,1,1.6,2.3,
BH,5,16,1,2.1,3.2,
BH,5,17,1,1.1,1.8,
BH,5,18,1,2.5,3.7,
BH,5,19,1,2.3,2.3,
BH,5,20,1,2.1,2.7,
BH,5,21,1,2.6,2.8,
BH,5,22,1,2.3,2.8,
BH,5,23,1,1.9,2.8,
BH,5,24,1,2.5,3.8,
BH,5,25,1,1.7,3,
BH,5,26,1,1.7,2.5,
BH,5,27,1,1.4,2.1,
BH,5,28,1,1.7,2.9,
BH,5,29,1,1.8,3.1,
BH,5,30,1,2.8,3.4,
BH,5,31,1,2,3.4,
BH,6,1,0,,,
BH,6,2,1,2.5,3.3,
BH,6,3,1,1.4,2.3,
BH,6,4,1,3.4,2.7,
BH,6,5,1,2.8,2.9,
BH,6,6,1,3.2,2.4,
BH,6,7,1,1.3,1.9,
BH,6,8,1,1.5,1.9,
BH,6,9,1,1.4,1.8,
BH,6,10,1,2.2,2.6,
BH,6,11,1,2.3,2.6,
BH,6,12,1,1.7,2.1,
BH,6,13,1,1.9,1.9,
BH,7,1,1,0.6,0.6,
BH,7,2,1,1.8,2.5,
BH,7,3,1,1.1,1.6,
BH,7,4,1,2.1,2.4,
BH,7,5,1,2.8,3.3,
BH,7,6,1,2.7,2.8,
BH,7,7,1,1.4,2.9,
BH,7,8,1,1.6,2.5,
BH,7,9,1,2.5,2.7,
BH,7,10,1,2,2.8,
BH,7,11,1,2,2.4,
BH,7,12,1,2.4,2.5,
BH,7,13,1,1.7,3.6,
BH,7,14,1,1.9,2.3,
BH,7,15,1,1,2.3,
BH,7,16,1,1.8,2.5,
BH,7,17,1,1.6,2.3,
BH,7,18,1,1.5,2.5,
BH,7,19,1,1.9,2,
BH,7,20,1,1.9,1.9,
BH,7,21,1,2.3,3.4,
BH,7,22,1,1.7,2.6,
BH,7,23,1,1.6,3.8,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
buffer,,,,,,
CC,1,1,1,2.5,1.8,
CC,1,2,0,,,
CC,1,3,0,,,
CC,1,4,0,,,
CC,1,5,0,,,
CC,1,6,1,2.6,1.8,
CC,1,7,0,,,
CC,1,8,0,,,
CC,1,9,1,4.7,2.5,
CC,1,10,0,,,
CC,1,11,1,2.7,2,
CC,1,12,0,,,
CC,1,13,0,,,
CC,2,1,1,3.1,2,
CC,2,2,1,2.6,2.3,
CC,2,3,1,3.1,2.4,
CC,2,4,1,3.4,2.4,
CC,2,5,1,6.2,2.6,
CC,2,6,1,3.1,1.8,
CC,2,7,1,1.6,1.5,
CC,2,8,0,,,
CC,2,9,0,,,
CC,2,10,0,,,
CC,2,11,0,,,
CC,2,12,0,,,
CC,2,13,1,2.4,2,
CC,3,1,0,,,
CC,3,2,1,5.2,2.8,
CC,3,3,1,3.4,2.4,
CC,3,4,0,,,
CC,3,5,1,3.8,2.9,
CC,3,6,0,,,
CC,3,7,0,,,
CC,3,8,1,2.4,2,
CC,3,9,1,3.5,2,
CC,3,10,1,2.4,1.5,
CC,3,11,0,,,
CC,3,12,1,4.5,2.5,
CC,3,13,1,2.9,2.8,
CC,4,1,0,,,
CC,4,2,0,,,
CC,4,3,0,,,
CC,4,4,1,2.4,2.7,
CC,4,5,1,3,1.7,
CC,4,6,1,2.3,1.6,
CC,4,7,1,2.2,2,
CC,4,8,1,3.2,2.5,
CC,4,9,1,1.6,1.2,
CC,4,10,1,3.4,2.2,
CC,4,11,0,,,
CC,4,12,0,,,
CC,4,13,1,1.9,1.3,
CC,5,1,0,,,
CC,5,2,0,,,
CC,5,3,1,3,2,
CC,5,4,0,,,
CC,5,5,1,3.6,2.2,
CC,5,6,1,4.3,2.6,
CC,5,7,1,2.9,1.5,
CC,5,8,0,,,
CC,5,9,0,,,
CC,5,10,0,,,
CC,5,11,1,6.5,3.4,
CC,5,12,1,3.3,2.1,
CC,5,13,0,,,
CC,6,1,0,,,
CC,6,2,0,,,
CC,6,3,1,3.5,2,
CC,6,4,1,3.8,2.8,
CC,6,5,1,5.1,2.5,
CC,6,6,1,2.6,1.7,
CC,6,7,0,,,
CC,6,8,0,,,
CC,6,9,0,,,
CC,6,10,1,5.1,2.7,
CC,6,11,0,,,
CC,6,12,0,,,
CC,6,13,0,,,
CC,7,1,1,3.8,2,
CC,7,2,1,4.6,2.3,
CC,7,3,1,2.6,1.7,
CC,7,4,1,1.5,1,
CC,7,5,0,,,
CC,7,6,0,,,
CC,7,7,0,,,
CC,7,8,1,4.1,2.6,
CC,7,9,0,,,
CC,7,10,0,,,
CC,7,11,0,,,
CC,7,12,0,,,
CC,7,13,0,,,
CP2,1,1,1,0.8,1.5,
CP2,1,2,0,,,
CP2,1,3,0,,,
